Id,sasa,eig_wt_final_sym,modularity_class
90,5.630372,0.014454,1
674,5.518814,0.011186,1
290,5.346021,0.010831,1
840,5.401516,0.01082,1
565,5.51828,0.010121,1
690,5.50129,0.009805,1
197,5.342693,0.009802,1
775,5.467727,0.008545,0
553,5.428563,0.008244,1
583,5.467901,0.008106,1
605,5.479568,0.008063,1
488,5.546409,0.007997,0
981,5.566702,0.007812,1
843,5.814028,0.007754,0
47,5.457512,0.007678,1
277,5.635443,0.007264,1
112,4.998302,0.006986,0
1010,5.617208,0.00692,1
1076,5.351969,0.006784,1
669,5.728154,0.006616,0
738,5.835882,0.006583,1
255,5.727909,0.006427,0
999,5.357432,0.006415,0
659,5.885517,0.006334,1
192,5.104834,0.006022,0
487,5.715203,0.005955,0
365,5.507084,0.005755,1
619,5.33315,0.00574,1
929,5.744059,0.005613,0
798,5.694413,0.005592,1
1048,5.844596,0.005589,0
151,4.931114,0.005517,0
115,5.862384,0.005472,0
194,6.105258,0.005429,4
160,5.470603,0.00524,0
910,5.480094,0.005213,0
639,5.930352,0.005208,0
970,5.572737,0.005183,1
522,5.96478,0.005099,0
534,5.297672,0.005068,1
729,5.479006,0.005065,0
809,5.667025,0.00506,1
101,5.286397,0.005011,1
391,5.681804,0.004983,0
380,5.648995,0.004885,0
490,5.477186,0.004833,0
306,5.749138,0.004806,0
667,5.567711,0.004749,1
912,5.855587,0.004727,0
385,5.511765,0.004673,1
12,5.718936,0.004642,0
815,5.702681,0.004602,0
1085,5.620466,0.004584,1
1056,5.875318,0.004578,4
1178,5.829936,0.004565,0
274,6.209322,0.00454,1
1152,5.88846,0.004529,1
808,5.616693,0.004506,1
457,5.732106,0.004471,1
845,5.919695,0.004401,1
890,5.488841,0.004391,1
482,5.527878,0.004381,1
1135,5.910513,0.004348,1
491,5.706336,0.004316,1
270,5.564354,0.00424,0
242,6.039327,0.004164,0
727,5.648671,0.004113,1
128,6.123193,0.004091,4
489,6.008571,0.004012,4
1053,5.649657,0.003973,1
